mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_normalize,param_fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0034,0.0005,0.002,0.0,True,True,"{'normalize': 'True', 'fit_intercept': 'True'}",0.7277,0.7939,0.0643,0.2496,0.593,0.4857,0.2823,1,0.8531,0.8572,0.8497,0.8956,0.8608,0.8633,0.0166
0.0032,0.0004,0.0018,0.0004,False,True,"{'normalize': 'False', 'fit_intercept': 'True'}",0.7277,0.7939,0.0643,0.2496,0.593,0.4857,0.2823,1,0.8531,0.8572,0.8497,0.8956,0.8608,0.8633,0.0166
0.0032,0.0004,0.002,0.0,True,False,"{'normalize': 'True', 'fit_intercept': 'False'}",0.7277,0.7939,0.0643,0.2496,0.593,0.4857,0.2823,1,0.8531,0.8572,0.8497,0.8956,0.8608,0.8633,0.0166
0.003,0.0,0.002,0.0,False,False,"{'normalize': 'False', 'fit_intercept': 'False'}",0.7277,0.7939,0.0643,0.2496,0.593,0.4857,0.2823,1,0.8531,0.8572,0.8497,0.8956,0.8608,0.8633,0.0166
